NUMERO_PROPIEDADES|ID_USUARIO|CORREO_CONTACTO
7|1000|user-9863@mail.com
6|1001|user-9452@mail.com
3|1002|user-7673@mail.com
3|1003|user-10@mail.com
3|1004|user-7029@mail.com
3|1005|user-5118@mail.com
2|1006|user-4502@mail.com
6|1007|user-7158@mail.com
2|1008|user-2283@mail.com
1|1009|user-9941@mail.com
4|1010|user-2858@mail.com
2|1011|user-4465@mail.com
3|1012|user-3752@mail.com
2|1013|user-5367@mail.com
4|1014|user-5581@mail.com
2|1015|user-1802@mail.com
4|1016|user-2270@mail.com
3|1017|user-5943@mail.com
5|1018|user-2907@mail.com
4|1019|user-6707@mail.com
3|1020|user-4812@mail.com
5|1021|user-3939@mail.com
4|1022|user-5262@mail.com
2|1023|user-4493@mail.com
5|1024|user-6680@mail.com
5|1025|user-9923@mail.com
2|1026|user-9572@mail.com
5|1027|user-8093@mail.com
3|1028|user-1751@mail.com
5|1029|user-4474@mail.com
7|1030|user-7120@mail.com
2|1031|user-2179@mail.com
7|1032|user-9535@mail.com
4|1033|user-1136@mail.com
4|1034|user-7078@mail.com
3|1035|user-1984@mail.com
4|1036|user-8683@mail.com
1|1037|user-7466@mail.com
3|1038|user-1281@mail.com
4|1039|user-4009@mail.com
5|1040|user-6200@mail.com
8|1041|user-8972@mail.com
4|1042|user-6264@mail.com
5|1043|user-4404@mail.com
5|1044|user-3226@mail.com
4|1045|user-2921@mail.com
2|1046|user-4927@mail.com
2|1047|user-5872@mail.com
3|1048|user-4579@mail.com
7|1049|user-5281@mail.com
4|1050|user-2666@mail.com
2|1051|user-7490@mail.com
3|1052|user-9451@mail.com
1|1053|user-4787@mail.com
3|1054|user-5580@mail.com
1|1055|user-3539@mail.com
5|1056|user-957@mail.com
2|1057|user-4169@mail.com
4|1058|user-7973@mail.com
7|1059|user-7361@mail.com
4|1060|user-2886@mail.com
6|1061|user-2349@mail.com
6|1062|user-3086@mail.com
3|1063|user-8383@mail.com
1|1064|user-2658@mail.com
6|1065|user-8142@mail.com
3|1066|user-2735@mail.com
4|1067|user-9251@mail.com
4|1068|user-8048@mail.com
6|1069|user-2489@mail.com
4|1070|user-8303@mail.com
5|1071|user-4049@mail.com
6|1072|user-5336@mail.com
5|1073|user-4533@mail.com
1|1074|user-6655@mail.com
4|1075|user-9680@mail.com
3|1076|user-8436@mail.com
3|1077|user-3139@mail.com
6|1078|user-388@mail.com
4|1079|user-2522@mail.com
2|1080|user-1447@mail.com
3|1081|user-9672@mail.com
4|1082|user-4016@mail.com
6|1083|user-1066@mail.com
2|1084|user-3284@mail.com
2|1085|user-3219@mail.com
5|1086|user-6247@mail.com
3|1087|user-1577@mail.com
4|1088|user-9145@mail.com
3|1089|user-993@mail.com
6|1090|user-7533@mail.com
4|1091|user-4686@mail.com
8|1092|user-832@mail.com
4|1093|user-100@mail.com
8|1094|user-8007@mail.com
5|1095|user-9736@mail.com
8|1096|user-4660@mail.com
7|1097|user-4093@mail.com
3|1098|user-6484@mail.com
3|1099|user-143@mail.com
